





"Voice.Blood.1_1"   "Смех"
"DOTA_Tooltip_ability_bloodseeker_thirst_custom_creep_kill_heal"                    "%ЛЕЧЕНИЕ ОТ МАКС. ЗДОРОВЬЯ КРИПОВ:"            
"DOTA_Tooltip_ability_bloodseeker_thirst_custom_visibility_threshold_pct"               "%ПОРОГ ЗДОРОВЬЯ ДЛЯ ВИДИМОСТИ:"

"DOTA_Tooltip_modifier_bloodseeker_thirst_custom_visual"                "Скорость от Thirst"
"DOTA_Tooltip_modifier_bloodseeker_thirst_custom_visual_Description"    "Существо чует раненого врага. Скорость передвижения увеличена."

"DOTA_Tooltip_modifier_bloodseeker_thirst_custom_debuff"                "Thirst"
"DOTA_Tooltip_modifier_bloodseeker_thirst_custom_debuff_Description"    "Bloodseeker чувствует ваши увечья и точно знает, где вы."






"font_disc_modifier_bloodseeker_thirst_1" "21"
"upgrade_disc_modifier_bloodseeker_thirst_1_1" "Thirst увеличивает ваш урон от атак максимум на <b><font color='#53ea48'>15%</font></b>, в зависимости от недостающего здоровья противника"
"upgrade_disc_modifier_bloodseeker_thirst_1_2" "Thirst увеличивает ваш урон от атак максимум на <b><font color='#53ea48'>20%</font></b>, в зависимости от недостающего здоровья противника"
"upgrade_disc_modifier_bloodseeker_thirst_1_3" "Thirst увеличивает ваш урон от атак максимум на <b><font color='#53ea48'>25%</font></b>, в зависимости от недостающего здоровья противника"

"talent_disc_modifier_bloodseeker_thirst_1_0" "Thirst увеличивает ваш урон от атак максимум на <b><font color='#297016'>15%</font></b>/<b><font color='#297016'>20%</font></b>/<b><font color='#297016'>25%</font></b>, в зависимости от недостающего здоровья противника"
"talent_disc_modifier_bloodseeker_thirst_1_1" "Thirst увеличивает ваш урон от атак максимум на <b><font color='#53ea48'>15%</font></b>/<b><font color='#297016'>20%</font></b>/<b><font color='#297016'>25%</font></b>, в зависимости от недостающего здоровья противника"
"talent_disc_modifier_bloodseeker_thirst_1_2" "Thirst увеличивает ваш урон от атак максимум на <b><font color='#297016'>15%</font></b>/<b><font color='#53ea48'>20%</font></b>/<b><font color='#297016'>25%</font></b>, в зависимости от недостающего здоровья противника"
"talent_disc_modifier_bloodseeker_thirst_1_3" "Thirst увеличивает ваш урон от атак максимум на <b><font color='#297016'>15%</font></b>/<b><font color='#297016'>20%</font></b>/<b><font color='#53ea48'>25%</font></b>, в зависимости от недостающего здоровья противника"


"font_disc_modifier_bloodseeker_thirst_2" "19"
"upgrade_disc_modifier_bloodseeker_thirst_2_1" "Убийства крипов дают вам щит, поглощающий <b><font color='#53ea48'>30</font></b> урона и увеличивающий скорость передвижения на <b><font color='#53ea48'>30</font></b><br><br>Щит суммируется 10 раз"
"upgrade_disc_modifier_bloodseeker_thirst_2_2" "Убийства крипов дают вам щит, поглощающий <b><font color='#53ea48'>45</font></b> урона и увеличивающий скорость передвижения на <b><font color='#53ea48'>45</font></b><br><br>Щит суммируется 10 раз"
"upgrade_disc_modifier_bloodseeker_thirst_2_3" "Убийства крипов дают вам щит, поглощающий <b><font color='#53ea48'>60</font></b> урона и увеличивающий скорость передвижения на <b><font color='#53ea48'>60</font></b><br><br>Щит суммируется 10 раз"

"talent_disc_modifier_bloodseeker_thirst_2_0" "Убийства крипов дают вам щит, поглощающий <b><font color='#297016'>30</font></b>/<b><font color='#297016'>45</font></b>/<b><font color='#297016'>60</font></b> урона и увеличивающий скорость передвижения на <b><font color='#297016'>30</font></b>/<b><font color='#297016'>45</font></b>/<b><font color='#297016'>60</font></b><br><br>Щит суммируется 10 раз"
"talent_disc_modifier_bloodseeker_thirst_2_1" "Убийства крипов дают вам щит, поглощающий <b><font color='#53ea48'>30</font></b>/<b><font color='#297016'>45</font></b>/<b><font color='#297016'>60</font></b> урона и увеличивающий скорость передвижения на <b><font color='#53ea48'>30</font></b>/<b><font color='#297016'>45</font></b>/<b><font color='#297016'>60</font></b><br><br>Щит суммируется 10 раз"
"talent_disc_modifier_bloodseeker_thirst_2_2" "Убийства крипов дают вам щит, поглощающий <b><font color='#297016'>30</font></b>/<b><font color='#53ea48'>45</font></b>/<b><font color='#297016'>60</font></b> урона и увеличивающий скорость передвижения на <b><font color='#297016'>30</font></b>/<b><font color='#53ea48'>45</font></b>/<b><font color='#297016'>60</font></b><br><br>Щит суммируется 10 раз"
"talent_disc_modifier_bloodseeker_thirst_2_3" "Убийства крипов дают вам щит, поглощающий <b><font color='#297016'>30</font></b>/<b><font color='#297016'>45</font></b>/<b><font color='#53ea48'>60</font></b> урона и увеличивающий скорость передвижения на <b><font color='#297016'>30</font></b>/<b><font color='#297016'>45</font></b>/<b><font color='#53ea48'>60</font></b><br><br>Щит суммируется 10 раз"

"DOTA_Tooltip_modifier_bloodseeker_thirst_custom_shield"                    "Thirst"
"DOTA_Tooltip_modifier_bloodseeker_thirst_custom_shield_Description"        "Поглощает входящий урон и увеличивает скорость передвижения на <b><font color='#53ea48'>%dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT%</font></b>"



"font_disc_modifier_bloodseeker_thirst_3" "20"
"upgrade_disc_modifier_bloodseeker_thirst_3_1" "Если в радиусе 500 есть противник с уровнем здоровья ниже 50%, вы восстанавливаете <b><font color='#53ea48'>1.5%</font></b> здоровья в секунду"
"upgrade_disc_modifier_bloodseeker_thirst_3_2" "Если в радиусе 500 есть противник с уровнем здоровья ниже 50%, вы восстанавливаете <b><font color='#53ea48'>2%</font></b> здоровья в секунду"
"upgrade_disc_modifier_bloodseeker_thirst_3_3" "Если в радиусе 500 есть противник с уровнем здоровья ниже 50%, вы восстанавливаете <b><font color='#53ea48'>2.5%</font></b> здоровья в секунду"

"talent_disc_modifier_bloodseeker_thirst_3_0" "Если в радиусе 500 есть противник с уровнем здоровья ниже 50%, вы восстанавливаете <b><font color='#297016'>1.5%</font></b>/<b><font color='#297016'>2%</font></b>/<b><font color='#297016'>2.5%</font></b> здоровья в секунду"
"talent_disc_modifier_bloodseeker_thirst_3_1" "Если в радиусе 500 есть противник с уровнем здоровья ниже 50%, вы восстанавливаете <b><font color='#53ea48'>1.5%</font></b>/<b><font color='#297016'>2%</font></b>/<b><font color='#297016'>2.5%</font></b> здоровья в секунду"
"talent_disc_modifier_bloodseeker_thirst_3_2" "Если в радиусе 500 есть противник с уровнем здоровья ниже 50%, вы восстанавливаете <b><font color='#297016'>1.5%</font></b>/<b><font color='#53ea48'>2%</font></b>/<b><font color='#297016'>2.5%</font></b> здоровья в секунду"
"talent_disc_modifier_bloodseeker_thirst_3_3" "Если в радиусе 500 есть противник с уровнем здоровья ниже 50%, вы восстанавливаете <b><font color='#297016'>1.5%</font></b>/<b><font color='#297016'>2%</font></b>/<b><font color='#53ea48'>2.5%</font></b> здоровья в секунду"

"DOTA_Tooltip_modifier_bloodseeker_thirst_custom_heal"                  "Thirst"
"DOTA_Tooltip_modifier_bloodseeker_thirst_custom_heal_Description"      "Восстанавливает <b><font color='#53ea48'>%fMODIFIER_PROPERTY_HEALTH_REGEN_PERCENTAGE%%%</font></b> здоровья в секунду"



"font_disc_modifier_bloodseeker_thirst_4" "19"
"upgrade_disc_modifier_bloodseeker_thirst_4_1" "Ваша каждая 6 атака восстанавливает вам <b><font color='#53ea48'>4%</font></b> от макс. здоровья<br><br>Урон такой атаки также увеличивается на это значение"
"upgrade_disc_modifier_bloodseeker_thirst_4_2" "Ваша каждая 6 атака восстанавливает вам <b><font color='#53ea48'>6%</font></b> от макс. здоровья<br><br>Урон такой атаки также увеличивается на это значение"

"talent_disc_modifier_bloodseeker_thirst_4_0" "Ваша каждая 6 атака восстанавливает вам <b><font color='#297016'>4%</font></b>/<b><font color='#297016'>6%</font></b> от макс. здоровья<br><br>Урон такой атаки также увеличивается на это значение"
"talent_disc_modifier_bloodseeker_thirst_4_1" "Ваша каждая 6 атака восстанавливает вам <b><font color='#53ea48'>4%</font></b>/<b><font color='#297016'>6%</font></b> от макс. здоровья<br><br>Урон такой атаки также увеличивается на это значение"
"talent_disc_modifier_bloodseeker_thirst_4_2" "Ваша каждая 6 атака восстанавливает вам <b><font color='#297016'>4%</font></b>/<b><font color='#53ea48'>6%</font></b> от макс. здоровья<br><br>Урон такой атаки также увеличивается на это значение"
"mini_disc_modifier_bloodseeker_thirst_4" "Атаки восстанавливают часть максимального здоровья"


"DOTA_Tooltip_modifier_bloodseeker_thirst_custom_attack"                    "Thirst"
"DOTA_Tooltip_modifier_bloodseeker_thirst_custom_attack_Description"        "Каждая <b><font color='#53ea48'>%dMODIFIER_PROPERTY_TOOLTIP%</font></b> атака наносит дополнительно <b><font color='#53ea48'>%dMODIFIER_PROPERTY_TOOLTIP2%</font></b> урона и исцеляет на это значение"



"font_disc_modifier_bloodseeker_thirst_5" "19"
"upgrade_disc_modifier_bloodseeker_thirst_5_1" "<b><font color='#53ea48'>+15%</font></b> максимальной скорости передвижения от Thirst<br><br>Пока уровень вашего здоровья выше 90%, ваше сопротивление эффектам увеличиватся на <b><font color='#53ea48'>20%</font></b>, а вас нельзя замедлить"
"mini_disc_modifier_bloodseeker_thirst_5" "На полном здоровье не может быть замедлен"


"font_disc_modifier_bloodseeker_thirst_6" "18"
"upgrade_disc_modifier_bloodseeker_thirst_6_1" "<b><font color='#53ea48'>+10%</font></b> к порогу здоровья для обнаружения и максимальных бонусов Thirst<br><br>При обнаружении героя, входящий по вам урон снижается на <b><font color='#53ea48'>20%</font></b>, а базовое время атаки снижается до <b><font color='#53ea48'>1.5</font></b>"
"mini_disc_modifier_bloodseeker_thirst_6" "Получает усиление от героев с низким здоровьем"

"DOTA_Tooltip_modifier_bloodseeker_thirst_custom_resist"                    "Thirst"
"DOTA_Tooltip_modifier_bloodseeker_thirst_custom_resist_Description"        "Сопротивление эффектам увеличено на <b><font color='#53ea48'>%dMODIFIER_PROPERTY_STATUS_RESISTANCE_STACKING%%%</font></b>, базовое время атаки снижено до <b><font color='#53ea48'>%fMODIFIER_PROPERTY_BASE_ATTACK_TIME_CONSTANT%</font></b>"

"DOTA_Tooltip_modifier_bloodseeker_thirst_custom_vision"                    "Thirst"
"DOTA_Tooltip_modifier_bloodseeker_thirst_custom_vision_Description"        "Получает обзор на героев в радиусе <b><font color='#53ea48'>%dMODIFIER_PROPERTY_TOOLTIP%</font></b>. Бонусы Thirst увеличены до максимума"

"DOTA_Tooltip_modifier_bloodseeker_thirst_custom_vision_count"                  "Thirst"
"DOTA_Tooltip_modifier_bloodseeker_thirst_custom_vision_count_Description"      "Убив <b><font color='#53ea48'>%dMODIFIER_PROPERTY_TOOLTIP%</font></b> крипов, вы получите обзор на героях неподалёку"




"font_disc_modifier_bloodseeker_thirst_7" "15"
"upgrade_disc_modifier_bloodseeker_thirst_7" "За каждых *creeps_count* убитых крипов вы получаете *!+creeps_stack* к силе и ловкости<br><br>Эффект суммируется *max* раз, после чего способность можно использовать, чтобы получить максимальные бонусы Thirst и обзор на героев в радиусе *vision_radius* на *!duration* сек<br><br>В конце действия эффекта вы теряете бонусы, но получаете *+!heroes_stack* силы и ловкости навсегда за каждого погибшего рядом героя"
"mini_disc_modifier_bloodseeker_thirst_7" "Активная: Начинает охоту за героями, получая бонус к атрибутам"






"DOTA_Tooltip_modifier_bloodseeker_thirst_custom_legendary"                 "Blood Essence"
"DOTA_Tooltip_modifier_bloodseeker_thirst_custom_legendary_Description"     "Ловкость и сила увеличены на <b><font color='#53ea48'>%dMODIFIER_PROPERTY_TOOLTIP%</font></b>"



"DOTA_Tooltip_ability_bloodseeker_rupture_custom"                                       "Rupture"
"DOTA_Tooltip_ability_bloodseeker_rupture_custom_Description"                           "Разрывает кожу врага, нанося жертве начальный урон, зависящий от её текущего здоровья. Если цель передвигается, то она получает урон, зависящий от преодолённого расстояния и проходящий сквозь невосприимчивость к магии.<br><br><b><font color='#53ea48'>Порог дистанции для нанесения урона увеличен до %no_damage_distance%</font></b>"
"DOTA_Tooltip_ability_bloodseeker_rupture_custom_Lore"                                  "Когда за тобой охотится Стригвир, любая рана становится смертельной."
"DOTA_Tooltip_ability_bloodseeker_rupture_custom_duration"                              "ДЛИТЕЛЬНОСТЬ:"
"DOTA_Tooltip_ability_bloodseeker_rupture_custom_movement_damage_pct"                   "%УРОН ПРИ ПЕРЕДВИЖЕНИИ:"
"DOTA_Tooltip_ability_bloodseeker_rupture_custom_hp_pct"                    "%УРОН ОТ ЗДОРОВЬЯ:"
"DOTA_Tooltip_ability_bloodseeker_rupture_custom_abilitycastrange"                  "ДАЛЬНОСТЬ ПРИМЕНЕНИЯ:"
"DOTA_Tooltip_ability_bloodseeker_rupture_custom_max_charges_scepter"                           "ЗАРЯДОВ СО СКИПЕТРОМ:"
"DOTA_Tooltip_ability_bloodseeker_rupture_custom_charge_restore_time_scepter"                   "ВРЕМЯ ВОССТАНОВЛЕНИЯ ЗАРЯДА:"



"DOTA_Tooltip_modifier_bloodseeker_rupture_custom"                      "Rupture"
"DOTA_Tooltip_modifier_bloodseeker_rupture_custom_Description"          "Процент от пройденного вами расстояния будет наноситься в качестве урона"      




"DOTA_Tooltip_ability_bloodseeker_rupture_custom_legendary"                                       "Blood Link"
"DOTA_Tooltip_ability_bloodseeker_rupture_custom_legendary_Description"                           "<b>ПРЕРЫВАЕМАЯ</b><br><br>В течение %duration% сек притягивает выбранную цель к себе<br><br>Под действием способности цель получает на %incoming_damage%%% больше урона из всех источников, а вы исцеляетесь на %damage_heal%%% от всего наносимого по ней урона" 
"DOTA_Tooltip_ability_bloodseeker_rupture_custom_legendary_duration"                    "ДЛИТЕЛЬНОСТЬ:"
"DOTA_Tooltip_ability_bloodseeker_rupture_custom_legendary_heal"                            "%ИСЦЕЛЕНИЕ ОТ МАКС. ЗДОРОВЬЯ ЦЕЛИ:"


"DOTA_Tooltip_ability_bloodseeker_blood_mist_custom"                                       "Blood Mist"
"DOTA_Tooltip_ability_bloodseeker_blood_mist_custom_Description"                           "Пока способность активна, герой разбрызгивает вокруг свою кровь, теряя здоровье, но нанося задетым врагам урон и замедляя их, а также получая увеличенное лечение от Thirst. Эту способность нельзя выключить, пока она перезаряжается.<br><br><b><font color='#ff0000'>Максимальный урон в секунду по крипам - %creeps_damage_max%</font></b>"
"DOTA_Tooltip_ability_bloodseeker_blood_mist_custom_hp_cost_per_second"                    "%ПОТЕРЯ ЗДОРОВЬЯ В СЕКУНДУ:"
"DOTA_Tooltip_ability_bloodseeker_blood_mist_custom_damage_per_second"                    "%УРОН В СЕКУНДУ:"
"DOTA_Tooltip_ability_bloodseeker_blood_mist_custom_radius"                            "РАДИУС:"
"DOTA_Tooltip_ability_bloodseeker_blood_mist_custom_movement_slow"                     "%ЗАМЕДЛЕНИЕ ПЕРЕДВИЖЕНИЯ:"
"DOTA_Tooltip_ability_bloodseeker_blood_mist_custom_thirst_bonus_pct"                      "%ДОП. ЛЕЧЕНИЕ ОТ THIRST:"

"DOTA_Tooltip_modifier_bloodseeker_blood_mist_custom"                                  "Blood Mist"
"DOTA_Tooltip_modifier_bloodseeker_blood_mist_custom_Description"                      "Испускает кровь, нанося урон врагам неподалёку и замедляя их. Лечение от Thirst увеличено."

"DOTA_Tooltip_modifier_bloodseeker_blood_mist_custom_slow"                             "Blood Mist"
"DOTA_Tooltip_modifier_bloodseeker_blood_mist_custom_slow_Description"                 "Bloodseeker замедляет это существо своей кровью на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."




"font_disc_modifier_bloodseeker_rupture_1" "22"
"upgrade_disc_modifier_bloodseeker_rupture_1_1" "<b><font color='#53ea48'>+10%</font></b> к начальному урону и урону при передвижении Rupture"
"upgrade_disc_modifier_bloodseeker_rupture_1_2" "<b><font color='#53ea48'>+15%</font></b> к начальному урону и урону при передвижении Rupture"
"upgrade_disc_modifier_bloodseeker_rupture_1_3" "<b><font color='#53ea48'>+20%</font></b> к начальному урону и урону при передвижении Rupture"

"talent_disc_modifier_bloodseeker_rupture_1_0" "<b><font color='#297016'>+10%</font></b>/<b><font color='#297016'>+15%</font></b>/<b><font color='#297016'>+20%</font></b> к начальному урону и урону при передвижении Rupture"
"talent_disc_modifier_bloodseeker_rupture_1_1" "<b><font color='#53ea48'>+10%</font></b>/<b><font color='#297016'>+15%</font></b>/<b><font color='#297016'>+20%</font></b> к начальному урону и урону при передвижении Rupture"
"talent_disc_modifier_bloodseeker_rupture_1_2" "<b><font color='#297016'>+10%</font></b>/<b><font color='#53ea48'>+15%</font></b>/<b><font color='#297016'>+20%</font></b> к начальному урону и урону при передвижении Rupture"
"talent_disc_modifier_bloodseeker_rupture_1_3" "<b><font color='#297016'>+10%</font></b>/<b><font color='#297016'>+15%</font></b>/<b><font color='#53ea48'>+20%</font></b> к начальному урону и урону при передвижении Rupture"


"font_disc_modifier_bloodseeker_rupture_2" "21"
"upgrade_disc_modifier_bloodseeker_rupture_2_1" "Rupture снижает весь наносимый целью урон на <b><font color='#53ea48'>6%</font></b>, а исцеление и регенерацию на <b><font color='#53ea48'>10%</font></b>"
"upgrade_disc_modifier_bloodseeker_rupture_2_2" "Rupture снижает весь наносимый целью урон на <b><font color='#53ea48'>9%</font></b>, а исцеление и регенерацию на <b><font color='#53ea48'>15%</font></b>"
"upgrade_disc_modifier_bloodseeker_rupture_2_3" "Rupture снижает весь наносимый целью урон на <b><font color='#53ea48'>12%</font></b>, а исцеление и регенерацию на <b><font color='#53ea48'>20%</font></b>"

"talent_disc_modifier_bloodseeker_rupture_2_0" "Rupture снижает весь наносимый целью урон на <b><font color='#297016'>6%</font></b>/<b><font color='#297016'>9%</font></b>/<b><font color='#297016'>12%</font></b>, а исцеление и регенерацию на <b><font color='#297016'>10%</font></b>/<b><font color='#297016'>15%</font></b>/<b><font color='#297016'>20%</font></b>"
"talent_disc_modifier_bloodseeker_rupture_2_1" "Rupture снижает весь наносимый целью урон на <b><font color='#53ea48'>6%</font></b>/<b><font color='#297016'>9%</font></b>/<b><font color='#297016'>12%</font></b>, а исцеление и регенерацию на <b><font color='#53ea48'>10%</font></b>/<b><font color='#297016'>15%</font></b>/<b><font color='#297016'>20%</font></b>"
"talent_disc_modifier_bloodseeker_rupture_2_2" "Rupture снижает весь наносимый целью урон на <b><font color='#297016'>6%</font></b>/<b><font color='#53ea48'>9%</font></b>/<b><font color='#297016'>12%</font></b>, а исцеление и регенерацию на <b><font color='#297016'>10%</font></b>/<b><font color='#53ea48'>15%</font></b>/<b><font color='#297016'>20%</font></b>"
"talent_disc_modifier_bloodseeker_rupture_2_3" "Rupture снижает весь наносимый целью урон на <b><font color='#297016'>6%</font></b>/<b><font color='#297016'>9%</font></b>/<b><font color='#53ea48'>12%</font></b>, а исцеление и регенерацию на <b><font color='#297016'>10%</font></b>/<b><font color='#297016'>15%</font></b>/<b><font color='#53ea48'>20%</font></b>"


"DOTA_Tooltip_modifier_bloodseeker_rupture_custom_reduction"                    "Rupture"
"DOTA_Tooltip_modifier_bloodseeker_rupture_custom_reduction_Description"        "Исцеление и регенерация снижены на <b><font color='#ff0000'>%dMODIFIER_PROPERTY_HEAL_AMPLIFY_PERCENTAGE_TARGET%%%</font></b>, наносимый урон снижен на <b><font color='#ff0000'>%dMODIFIER_PROPERTY_TOTALDAMAGEOUTGOING_PERCENTAGE%%%</font></b>"



"font_disc_modifier_bloodseeker_rupture_3" "23"
"upgrade_disc_modifier_bloodseeker_rupture_3_1" "<b><font color='#53ea48'>-10</font></b> секунд к перезарядке Rupture"
"upgrade_disc_modifier_bloodseeker_rupture_3_2" "<b><font color='#53ea48'>-20</font></b> секунд к перезарядке Rupture"
"upgrade_disc_modifier_bloodseeker_rupture_3_3" "<b><font color='#53ea48'>-30</font></b> секунд к перезарядке Rupture"

"talent_disc_modifier_bloodseeker_rupture_3_0" "<b><font color='#297016'>-10</font></b>/<b><font color='#297016'>-20</font></b>/<b><font color='#297016'>-30</font></b> секунд к перезарядке Rupture"
"talent_disc_modifier_bloodseeker_rupture_3_1" "<b><font color='#53ea48'>-10</font></b>/<b><font color='#297016'>-20</font></b>/<b><font color='#297016'>-30</font></b> секунд к перезарядке Rupture"
"talent_disc_modifier_bloodseeker_rupture_3_2" "<b><font color='#297016'>-10</font></b>/<b><font color='#53ea48'>-20</font></b>/<b><font color='#297016'>-30</font></b> секунд к перезарядке Rupture"
"talent_disc_modifier_bloodseeker_rupture_3_3" "<b><font color='#297016'>-10</font></b>/<b><font color='#297016'>-20</font></b>/<b><font color='#53ea48'>-30</font></b> секунд к перезарядке Rupture"






"font_disc_modifier_bloodseeker_rupture_4" "18"
"upgrade_disc_modifier_bloodseeker_rupture_4_1" "Раз в 3 сек под целью Rupture остается кровавый след<br><br>Находясь в нем, противники получают <b><font color='#53ea48'>60</font></b> маг. урона в сек, а вы исцеляетесь на 100% от этого урона<br><br>Эффект суммируется"
"upgrade_disc_modifier_bloodseeker_rupture_4_2" "Раз в 3 сек под целью Rupture остается кровавый след<br><br>Находясь в нем, противники получают <b><font color='#53ea48'>100</font></b> маг. урона в сек, а вы исцеляетесь на 100% от этого урона<br><br>Эффект суммируется"

"talent_disc_modifier_bloodseeker_rupture_4_0" "Раз в 3 сек под целью Rupture остается кровавый след<br><br>Находясь в нем, противники получают <b><font color='#297016'>60</font></b>/<b><font color='#297016'>100</font></b> маг. урона в сек, а вы исцеляетесь на 100% от этого урона<br><br>Эффект суммируется"
"talent_disc_modifier_bloodseeker_rupture_4_1" "Раз в 3 сек под целью Rupture остается кровавый след<br><br>Находясь в нем, противники получают <b><font color='#53ea48'>60</font></b>/<b><font color='#297016'>100</font></b> маг. урона в сек, а вы исцеляетесь на 100% от этого урона<br><br>Эффект суммируется"
"talent_disc_modifier_bloodseeker_rupture_4_2" "Раз в 3 сек под целью Rupture остается кровавый след<br><br>Находясь в нем, противники получают <b><font color='#297016'>60</font></b>/<b><font color='#53ea48'>100</font></b> маг. урона в сек, а вы исцеляетесь на 100% от этого урона<br><br>Эффект суммируется"
"mini_disc_modifier_bloodseeker_rupture_4" "Rupture оставляет кровавый след, который наносит урон"




"DOTA_Tooltip_modifier_bloodseeker_rupture_custom_blood"                    "Rupture"
"DOTA_Tooltip_modifier_bloodseeker_rupture_custom_blood_Description"        "Получает <b><font color='#ff0000'>%dMODIFIER_PROPERTY_TOOLTIP%</font></b> магического урона в секунду"




"font_disc_modifier_bloodseeker_rupture_5" "18"
"upgrade_disc_modifier_bloodseeker_rupture_5_1" "<b><font color='#53ea48'>+200</font></b> дальности применения Rupture<br><br>Каждый раз, когда противник применяет заклинание под действием Rupture, действие способности продлевается на <b><font color='#53ea48'>1</font></b> секунду"
"mini_disc_modifier_bloodseeker_rupture_5" "Применение способностей продлевает Rupture"

"font_disc_modifier_bloodseeker_rupture_6" "19"
"upgrade_disc_modifier_bloodseeker_rupture_6_1" "Если под действием Rupture, здоровье цели опускается ниже 40%, она получает эффект устрашения на <b><font color='#53ea48'>1.5</font></b> секунды"
"mini_disc_modifier_bloodseeker_rupture_6" "Rupture устрашает цели с низким здоровьем"

"font_disc_modifier_bloodseeker_rupture_7" "17"
"upgrade_disc_modifier_bloodseeker_rupture_7" "Новая способность<br>Перезарядка: *cd* сек<br><br>В течение *!duration* сек вы притягиваете цель к себе<br><br>Под действием эффекта противник получает на *!damage%* больше урона из всех источников, а вы исцеляетесь на *!heal%* от всего наносимого ему урона"
"mini_disc_modifier_bloodseeker_rupture_7" "Новая способность: Притягивает цель"


